,name,abbreviation,mascot,wins,losses,conference_name
202,North Dakota,UND,Fighting Hawks,18.0,14.0,Summit League
203,North Dakota State,NDSU,Bison,15.0,17.0,Summit League
204,North Florida,UNF,Ospreys,16.0,16.0,ASUN Conference
205,North Texas,UNT,Mean Green,19.0,15.0,American Athletic Conference
206,Northeastern,NE,Huskies,12.0,20.0,Coastal Athletic Association
207,Northern Arizona,NAU,Lumberjacks,14.0,19.0,Big Sky Conference
208,Northern Colorado,UNCO,Bears,19.0,14.0,Big Sky Conference
209,Northern Illinois,NIU,Huskies,11.0,20.0,Mid-American Conference
210,Northern Iowa,UNI,Panthers,19.0,14.0,Missouri Valley Conference
211,Northern Kentucky,NKU,Norse,18.0,15.0,Horizon League
212,Northwestern,NW,Wildcats,22.0,12.0,Big Ten Conference
213,Northwestern State,NWST,Demons,9.0,23.0,Southland Conference
214,Notre Dame,NDAME,Fighting Irish,13.0,20.0,Atlantic Coast Conference
215,Oakland,OAK,Golden Grizzlies,24.0,12.0,Horizon League
216,Ohio,OHIO,Bobcats,20.0,13.0,Mid-American Conference
217,Ohio State,OHST,Buckeyes,22.0,14.0,Big Ten Conference
218,Oklahoma,OKLA,Sooners,20.0,12.0,Southeastern Conference
219,Oklahoma State,OKST,Cowboys,12.0,20.0,Big 12 Conference
220,Old Dominion,ODU,Monarchs,7.0,25.0,Sun Belt Conference
221,Ole Miss,MISS,Rebels,20.0,12.0,Southeastern Conference
222,Oral Roberts,ORU,Golden Eagles,12.0,19.0,Summit League
223,Oregon,OREG,Ducks,24.0,12.0,Big Ten Conference
224,Oregon State,ORST,Beavers,13.0,19.0,West Coast Conference
225,Pacific,PAC,Boxers,6.0,26.0,West Coast Conference
226,Penn State,PSU,Nittany Lions,16.0,17.0,Big Ten Conference
227,Pennsylvania,PENN,Quakers,11.0,18.0,Ivy League
228,Pepperdine,PEPP,Waves,13.0,20.0,West Coast Conference
229,Pittsburgh,PITT,Panthers,22.0,11.0,Atlantic Coast Conference
230,Portland,PORT,Pilots,12.0,21.0,West Coast Conference
231,Portland State,PRST,Vikings,17.0,15.0,Big Sky Conference
232,Prairie View A&M,PV,Prairie View,10.0,21.0,Southwestern Athletic Conference
233,Presbyterian College,PRE,Blue Hose,14.0,19.0,Big South Conference
234,Princeton,PRIN,Tigers,24.0,5.0,Ivy League
235,Providence,PROV,Friars,21.0,14.0,Big East Conference
236,Purdue,PURD,Boilermakers,34.0,5.0,Big Ten Conference
237,Quinnipiac,QUIN,Bobcats,24.0,10.0,Metro Atlantic Athletic Conference
238,Radford,RAD,Highlanders,16.0,17.0,Big South Conference
239,Rhode Island,URI,Rams,12.0,20.0,Atlantic 10 Conference
240,Rice,RICE,Owls,11.0,21.0,American Athletic Conference
241,Richmond,RICH,Spiders,23.0,10.0,Atlantic 10 Conference
242,Rider,RID,Broncs,15.0,17.0,Metro Atlantic Athletic Conference
243,Robert Morris,RMU,Colonials,10.0,22.0,Horizon League
244,Rutgers,RUTG,Scarlet Knights,15.0,17.0,Big Ten Conference
245,Sacramento State,SAC,Hornets,10.0,24.0,Big Sky Conference
246,Sacred Heart,SHU,Pioneers,16.0,16.0,Metro Atlantic Athletic Conference
247,Saint Peter's,SPU,Peacocks,19.0,14.0,Metro Atlantic Athletic Conference
248,Sam Houston State,SHSU,Bearkats,21.0,12.0,Conference USA
249,Samford,SAM,Bulldogs,29.0,6.0,Southern Conference
250,San Diego,USD,Toreros,18.0,15.0,West Coast Conference
